,ranking_score,ranking_score,ranking_score,iptm,iptm,iptm,ptm,ptm,ptm,fraction_disordered,fraction_disordered,fraction_disordered,has_clash,has_clash,has_clash,mean_plddt,mean_plddt,mean_plddt
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0.0,0.9700000000000001,0.0,1119,0.9799999999999999,0.0,1119,0.9274888293118857,0.004359064165538469,1119,0.0,0.0,1119,0.0,0.0,1119,92.45653650990873,0.43466553678312625,1119
1.0,0.97,0.0,110,0.98,0.0,110,0.9262727272727272,0.005042769537053643,110,0.0,0.0,110,0.0,0.0,110,92.35868702577878,0.5150922797498987,110
