,ranking_score,ranking_score,ranking_score,iptm,iptm,iptm,ptm,ptm,ptm,fraction_disordered,fraction_disordered,fraction_disordered,has_clash,has_clash,has_clash,mean_plddt,mean_plddt,mean_plddt
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0.0,0.9043430656934307,0.005385250295842827,548,0.9007846715328467,0.0036687801002382933,548,0.9104014598540147,0.002871940413834383,548,0.0,0.0,548,0.0,0.0,548,89.3301804026643,0.17877645968143124,548
1.0,0.8932358674463938,0.005453722216399313,513,0.8911890838206628,0.004836114721994102,513,0.9025730994152048,0.004420192650798906,513,0.0,0.0,513,0.0,0.0,513,88.570242230044,0.4449126055454544,513
2.0,0.8919727891156463,0.004478174741662849,147,0.8902040816326532,0.0029769405447520794,147,0.9006802721088436,0.0025265342404003663,147,0.0,0.0,147,0.0,0.0,147,88.12714225134789,0.15328519159741358,147
