cluster,size,seed,sample,PC1,PC2,cif_path
0,475,223,4,-23.16115091291325,-0.7847921278808788,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/conformations/wt_mono_apo/cluster_0_rep.cif
1,161,242,3,21.005840253660338,3.1058643298802364,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/conformations/wt_mono_apo/cluster_1_rep.cif
2,468,11,0,20.888596039432606,-1.0529342722085993,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/conformations/wt_mono_apo/cluster_2_rep.cif
3,104,77,4,-23.01022944917705,3.401717073414093,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/conformations/wt_mono_apo/cluster_3_rep.cif
