,ranking_score,ranking_score,ranking_score,iptm,iptm,iptm,ptm,ptm,ptm,fraction_disordered,fraction_disordered,fraction_disordered,has_clash,has_clash,has_clash,mean_plddt,mean_plddt,mean_plddt
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0.0,0.9272857142857144,0.004457592384923603,210,0.9266190476190477,0.0047419152095097795,210,0.9297619047619048,0.002482566234867319,210,0.0,0.0,210,0.0,0.0,210,90.52941970920043,0.30631269983725573,210
1.0,0.9277524429967426,0.004177616759244518,614,0.9268241042345278,0.004659184347980742,614,0.9297882736156352,0.0014407694439401003,614,0.0,0.0,614,0.0,0.0,614,90.45908961116373,0.22429435069541917,614
2.0,0.9210846560846562,0.0031137970565735056,378,0.9206349206349206,0.0024416908562952936,378,0.9255291005291005,0.004978516150569975,378,0.0,0.0,378,0.0,0.0,378,89.87551308899806,0.26788237093471007,378
