seed,sample,cluster,PC1,PC2
72,3,1,-1.3602343869305522,2.7125819248596863
200,1,1,-0.12356831687490631,2.3267443374568764
155,1,1,0.559555773145081,3.0963345943176113
203,2,1,-1.7117922992827204,1.6908379435204044
197,4,2,-6.19117780386358,-4.5173761448481455
122,3,2,-6.3533368069915666,-5.334466988874403
104,0,1,0.2997360528060904,3.2808742852236046
167,3,1,-0.5974061631036269,1.8915103634574681
22,4,1,-0.8418722028865266,1.4015772385425727
98,3,2,-7.009707402772878,-6.186016379559295
162,1,1,0.0004906277035288799,1.9767678966889641
76,0,1,-0.10841367193730168,2.7831902760697713
216,1,1,-0.40670424255990084,1.9899605510094258
158,1,1,1.9564692303647342,2.715538890477217
227,2,1,0.22919712175563842,2.905975063305911
201,0,1,1.582140427664868,4.172451892648322
226,1,1,0.18883344828729728,3.465555242971302
244,4,1,-2.3535561916316547,0.5878491596387785
10,2,2,-6.839995138066263,-3.714999145906574
77,2,1,-0.22250638046417115,2.768208133349558
215,0,2,-6.844377054531082,-5.239561301933232
108,2,1,1.7585187790998666,2.2651972496009583
141,3,2,-6.747027885222159,-5.623296821370556
144,1,1,-1.0894074091125772,3.096586953803124
100,4,1,-0.6168250499924512,1.968534667455174
91,4,1,-0.2603540759933137,2.642140689243473
81,4,1,-0.15026008241770908,3.399389821087265
209,1,1,-1.1180669842632547,1.9718627551189463
28,1,1,-1.7294059537210402,1.5112380997977541
148,1,2,-6.110387490609245,-4.979189458543911
24,3,1,0.9679812766211492,3.570812242814863
186,1,1,1.7098207405305725,3.7848719929408667
248,1,1,-1.1850728959533232,1.9071050147713133
88,4,2,-5.717308556736319,-3.375349822038091
7,0,1,-2.831074364781083,1.107932568518718
94,3,2,-5.800013842826333,-4.706947727428505
172,2,1,0.2288564099010304,2.4175158492337667
233,1,1,-0.8556666386390329,2.0145202593870892
61,3,1,0.3374520970884334,2.0195910384423854
228,4,1,-1.484996981753655,2.623130588604014
229,1,1,-1.5029183389312173,3.4201985956876606
104,3,1,-1.1771151344991284,2.293375542195698
145,1,2,-7.0878424621923735,-4.307519963426541
19,0,1,-1.7292573315053792,1.219566993438057
87,2,1,-2.2554913257736753,0.6013370389051008
203,0,1,-1.383287301587868,2.0420256117237954
238,1,1,-0.46785479079815934,2.1513314988869334
235,0,1,-0.5581209831813844,2.7634568238111035
237,2,1,-1.679188994292356,1.4285195134311512
157,0,1,0.21963999025146191,3.4046403608901117
215,1,2,-7.468453417457516,-5.1942959788385235
237,3,2,-6.500610684948146,-7.367734366511794
136,2,1,0.6237229685492978,0.965560532216855
120,0,2,-5.110388512844091,-4.816290473417745
241,0,1,-0.9480884537990999,2.2166471670860126
102,3,1,0.46929208723652177,2.813078174876844
153,3,1,-2.868242854952383,2.358317546939703
112,2,1,-2.3538590004040096,1.9501776620844162
67,1,1,2.007659222308366,2.4613391718720625
70,3,1,-0.464536596565879,2.2808074310522666
42,3,1,-1.1081282525544065,1.8899893155493344
138,2,1,-1.6587830844331932,2.175527992568002
137,2,1,-2.3531563220173175,2.0070218810518528
88,0,2,-5.619068364350707,-7.544625134278198
150,0,1,-0.840124292967815,2.5115325347633903
107,4,2,-5.301443611025657,-6.387125691817122
95,1,1,-1.1513345215195654,2.7157776274307674
177,2,1,-2.1751547924968855,1.530800152565834
