,ranking_score,ranking_score,ranking_score,iptm,iptm,iptm,ptm,ptm,ptm,fraction_disordered,fraction_disordered,fraction_disordered,has_clash,has_clash,has_clash,mean_plddt,mean_plddt,mean_plddt
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0.0,0.9264615384615386,0.004800119259102873,130,0.9245384615384616,0.004997912504009304,130,0.93,0.0,130,0.0,0.0,130,0.0,0.0,130,90.26314342740808,0.1374914673133427,130
1.0,0.9200603136308806,0.0007747403480075089,829,0.9200241254523522,0.0004908799785333032,829,0.9206634499396864,0.002490344284148445,829,0.0,0.0,829,0.0,0.0,829,89.80823977782549,0.11264614812268978,829
2.0,0.92,0.0,259,0.92,0.0,259,0.9201544401544403,0.0012354931755814912,259,0.0,0.0,259,0.0,0.0,259,89.78790406797933,0.0869797194991457,259
