cluster,size,seed,sample,PC1,PC2,cif_path
0,130,140,2,15.441318318099482,-4.188635200332588,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/updated_conformations/h524l_dimer_holo/h524lholo_cluster_0_rep.cif
1,829,36,0,-0.4553525013265195,2.428084975025801,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/updated_conformations/h524l_dimer_holo/h524lholo_cluster_1_rep.cif
2,259,232,1,-6.1842126982315015,-5.521155226423591,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/analysis/updated_conformations/h524l_dimer_holo/h524lholo_cluster_2_rep.cif
