,ranking_score,ranking_score,ranking_score,iptm,iptm,iptm,ptm,ptm,ptm,fraction_disordered,fraction_disordered,fraction_disordered,has_clash,has_clash,has_clash,mean_plddt,mean_plddt,mean_plddt
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0.0,0.9095157894736843,0.002425528599114099,475,,,0,0.9095157894736843,0.002425528599114099,475,0.0,0.0,475,0.0,0.0,475,90.47780514460588,0.2813549745123789,475
1.0,0.9075776397515528,0.004713862205708907,161,,,0,0.9075776397515528,0.004713862205708907,161,0.0,0.0,161,0.0,0.0,161,90.03848315758307,0.6688834304704468,161
2.0,0.906880341880342,0.004993636023920769,468,,,0,0.906880341880342,0.004993636023920769,468,0.0,0.0,468,0.0,0.0,468,89.98521241039968,0.6435839459466539,468
3.0,0.9095192307692308,0.002149647834019853,104,,,0,0.9095192307692308,0.002149647834019853,104,0.0,0.0,104,0.0,0.0,104,90.44012310110006,0.2593573849610714,104
